                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.18789,                0.88368,                0.92753,                0.37792,                      1,                0.61432,                0.61432,                0.04001,                 58.097,                0.17482,              0.0033331,              0.0033331,              0.0033331
                      2,                0.13016,                0.66418,                0.88338,                0.37792,                      1,                0.57859,                0.57859,                0.02636,                 58.134,                0.16335,              0.0065345,              0.0065345,              0.0065345
                      3,                0.11785,                0.65405,                0.88094,                0.37792,                      1,                0.59151,                0.59151,                0.04396,                 57.434,                0.17749,              0.0096038,              0.0096038,              0.0096038
                      4,                0.09647,                0.64226,                0.87658,                0.37794,                0.99992,                0.58981,                0.58981,                0.07306,                 41.307,                0.20589,               0.009406,               0.009406,               0.009406
                      5,                 0.0791,                0.63088,                0.87463,                0.37794,                0.99992,                0.58865,                0.58865,                0.07546,                 32.368,                0.21487,               0.009208,               0.009208,               0.009208
                      6,                0.07108,                 0.6251,                0.87225,                0.37792,                      1,                0.58472,                0.58472,                0.07107,                 22.843,                0.21342,                0.00901,                0.00901,                0.00901
                      7,                0.06644,                0.62274,                0.87228,                0.37792,                      1,                0.58448,                0.58448,                0.07909,                 28.303,                 0.2128,               0.008812,               0.008812,               0.008812
                      8,                    inf,                 0.6208,                0.87152,                0.37798,                0.99976,                 0.5835,                 0.5835,                 0.0925,                 30.066,                0.21773,               0.008614,               0.008614,               0.008614
                      9,                0.06067,                0.62058,                0.87105,                0.37796,                0.99978,                0.58264,                0.58264,                0.10267,                 45.646,                0.22453,               0.008416,               0.008416,               0.008416
                     10,                    inf,                0.62011,                0.87166,                0.37793,                      1,                0.58397,                0.58397,                0.09599,                 53.578,                0.21982,               0.008218,               0.008218,               0.008218
                     11,                    inf,                0.61768,                0.87155,                0.37792,                      1,                0.58479,                0.58479,                0.08681,                 56.541,                0.21286,                0.00802,                0.00802,                0.00802
                     12,                    inf,                0.61711,                0.87069,                0.37792,                      1,                0.59117,                0.59117,                0.08361,                 59.798,                0.21196,               0.007822,               0.007822,               0.007822
                     13,                0.05504,                 0.6174,                0.87099,                0.37792,                      1,                 0.5952,                 0.5952,                0.07878,                  61.03,                0.20839,               0.007624,               0.007624,               0.007624
                     14,                0.05428,                0.61645,                0.87066,                0.37792,                      1,                0.59549,                0.59549,                0.07558,                 61.502,                0.20638,               0.007426,               0.007426,               0.007426
                     15,                0.05324,                0.61588,                0.87056,                0.37792,                      1,                0.59032,                0.59032,                0.07386,                 61.168,                 0.2056,               0.007228,               0.007228,               0.007228
                     16,                    inf,                0.61476,                0.87056,                0.37792,                      1,                0.59048,                0.59048,                0.07245,                 60.882,                0.20391,                0.00703,                0.00703,                0.00703
                     17,                0.05106,                0.61366,                0.87038,                0.37792,                      1,                0.59308,                0.59308,                0.06843,                 60.484,                0.20177,               0.006832,               0.006832,               0.006832
                     18,                0.05007,                0.61357,                0.87011,                0.37792,                      1,                0.59211,                0.59211,                0.06409,                 60.098,                0.19755,               0.006634,               0.006634,               0.006634
                     19,                    inf,                0.61265,                0.87011,                0.37792,                      1,                0.59467,                0.59467,                 0.0587,                 59.307,                0.19125,               0.006436,               0.006436,               0.006436
